Obs	MMTX_THERAPY	medtreatsh	NameToUse	CodeName	ChemicalName	USTradeName	CollapsedTargetGroup	CollapsedMechanism	new_shnm	Remove from treatment list?
2	ABBV-838	ABBV-838	Azintuxizumab vedotin	 	"Azintuxizumab
vedotin"	 	SLAMF7	Antibody	Azin	
3	ACP-196	Aca	Acalabrutinib	 	Acalabrutinib	Calquence	BTK	Kinase Inhibitor	Aca	
4	ACY-1215	Roc	Ricolinostat	ACY-1215	Ricolinostat	 	HDAC	HDAC	Roc	
5	ACY-241	ACY-241	Citarinostat	ACY-241	Citarinostat	 	HDAC	HDAC	Cita	
6	ADRIAMYCIN	Dox	Doxorubicin	 	Doxorubicin	Adriamycin	Chemotherapy	Chemotherapy	Dox	
7	ALEMTUZUMAB	ALEMTUZUMAB	Alemtuzumab	 	Alemtuzumab	Campath	CD52	Antibody	Alem	
8	ALKERAN	Mel	Melphalan	 	Melphalan	Alkeran	Chemotherapy	Chemotherapy	Mel	
9	AO-176	AO-176	AO-176	AO-176	 	 	CD47	Antibody	AO-176	
10	ATEZOLIZUMAB	ATEZOLIZUMAB	Atezolizumab	"MPDL3280A,
RG7446"	Atezolizumab	Tecentriq	Checkpoint Inhibitor	Antibody	Atez	
11	B2121	CAR T	Idecabtagene cicleucel	bb2121	Idecabtagene cicleucel	 	BCMA	CAR-T	Ide-cel	
12	BB2121	CAR T	Idecabtagene cicleucel	bb2121	Idecabtagene cicleucel	 	BCMA	CAR-T	Ide-cel	
13	BCMA AB	BCMA AB	Anti-BCMA	 	 	 	BCMA	Antibody	Anti-BCMA	
14	BCNU	BCNU	Carmustine	 	Carmustine	BCNU	Chemotherapy	Chemotherapy	Carm	
15	BELANTAMAB	BELANTAMAB	Belantamab mafodotin	GSK2857916	Belantamab mafodotin	BLENREP	BCMA	Antibody	Bela	
16	BELANTAMAB MAFODOTIN MONOTHERAPY	"BELANTAMAB
MAFODOTIN
M"	Belantamab mafodotin	GSK2857916	Belantamab mafodotin	BLENREP	BCMA	Antibody	Bela	
17	BELANTAMAB MAFODOTIN-BLMF	BELANTAMAB MAFODOTIN-B	Belantamab mafodotin	GSK2857916	Belantamab mafodotin	BLENREP	BCMA	Antibody	Bela	
18	BENDAMUSTINE	Bend	Bendamustine	 	Bendamustine	BENDEKA	Chemotherapy	Chemotherapy	Bend	
19	BIAXIN	Clar	Clarithromycin	 	Clarithromycin	Biazin	Antibiotic	Antibiotic	Clar	
20	"BIAXIN (BIRD REGIMEN FOR A FEW MONTHS
THEN RVD ONLY)"	"BIAXIN (BIRD REGIMEN
F"	Clarithromycin	 	Clarithromycin	Biazin	Antibiotic	Antibiotic	Clar	
21	BISULFAN	BISULFAN	Busulfan	 	Busulfan	Myleran	Chemotherapy	Chemotherapy	Bus	
22	BUSULFAN	Bus	Busulfan	 	Busulfan	Myleran	Chemotherapy	Chemotherapy	Bus	
23	BUSULPHAN	Bus	Busulfan	 	Busulfan	Myleran	Chemotherapy	Chemotherapy	Bus	
24	Bendamustine	Bend	Bendamustine	 	Bendamustine	BENDEKA	Chemotherapy	Chemotherapy	Bend	
25	Bortezomib	Bor	Bortezomib	PS-341	Bortezomib	Velcade	Proteasome	Proteasome	Bor	
26	CAR T CELLS	CAR T	"CAR-T Cells
(Undefined)"	 	 	 	 	CAR-T	CAR-T	
27	CAR-T	CAR T	"CAR-T Cells
(Undefined)"	 	 	 	 	CAR-T	CAR-T	
28	CAR-T CELL INFUSION	CAR-T CELL INFUSION	"CAR-T Cells
(Undefined)"	 	 	 	 	CAR-T	CAR-T	
29	CARMUSTINE	BCNU	Carmustine	 	Carmustine	BCNU	Chemotherapy	Chemotherapy	Carm	
30	CB-5083	CB-5083	CB-5083	CB-5083	 	 	Other	Other	CB-5083	
31	CB-839HCL	CB-839HCL	CB-839	CB-839	 	 	Other	Other	CB-839	
