Zscore	area	pvalue1sides	pvalue2sides
0.000	0.5	0.5	1
0.001	0.500398942	0.499601058	0.999202116
0.002	0.500797884	0.499202116	0.998404232
0.003	0.501196825	0.498803175	0.99760635
0.004	0.501595765	0.498404235	0.99680847
0.005	0.501994703	0.498005297	0.996010594
0.006	0.502393639	0.497606361	0.995212721
0.007	0.502792573	0.497207427	0.994414854
0.008	0.503191504	0.496808496	0.993616992
0.009	0.503590432	0.496409568	0.992819136
0.010	0.503989356	0.496010644	0.992021287
0.011	0.504388277	0.495611723	0.991223447
0.012	0.504787192	0.495212808	0.990425615
0.013	0.505186104	0.494813896	0.989627793
0.014	0.505585009	0.494414991	0.988829981
0.015	0.50598391	0.49401609	0.98803218
0.016	0.506382804	0.493617196	0.987234392
0.017	0.506781692	0.493218308	0.986436616
0.018	0.507180573	0.492819427	0.985638853
0.019	0.507579447	0.492420553	0.984841105
0.020	0.507978314	0.492021686	0.984043373
0.021	0.508377172	0.491622828	0.983245656
0.022	0.508776022	0.491223978	0.982447956
0.023	0.509174864	0.490825136	0.981650273
0.024	0.509573696	0.490426304	0.980852609
0.025	0.509972518	0.490027482	0.980054964
0.026	0.510371331	0.489628669	0.979257338
0.027	0.510770133	0.489229867	0.978459734
0.028	0.511168924	0.488831076	0.977662151
0.029	0.511567705	0.488432295	0.976864591
0.030	0.511966473	0.488033527	0.976067053
0.031	0.51236523	0.48763477	0.97526954
0.032	0.512763975	0.487236025	0.974472051
0.033	0.513162706	0.486837294	0.973674588
0.034	0.513561425	0.486438575	0.972877151
0.035	0.51396013	0.48603987	0.972079741
0.036	0.514358821	0.485641179	0.971282359
0.037	0.514757497	0.485242503	0.970485006
0.038	0.515156159	0.484843841	0.969687682
0.039	0.515554806	0.484445194	0.968890389
0.040	0.515953437	0.484046563	0.968093126
0.041	0.516352052	0.483647948	0.967295896
0.042	0.516750651	0.483249349	0.966498698
0.043	0.517149233	0.482850767	0.965701534
0.044	0.517547798	0.482452202	0.964904404
0.045	0.517946346	0.482053654	0.964107309
0.046	0.518344875	0.481655125	0.96331025
